Region,Route_Type,Transport_Mode,Weather,Traffic_Level,Distance_km,Shipment_Volume,Fuel_Price_INR_L,Delivery_Time_hr,Expected_Time_hr,Delay_hr,Transport_Cost_INR
East,Local,Bike,Cloudy,Medium,142.9,40,97.68,8.54,6.6,2.08,573.0
West,Local,Truck,Clear,Low,112.1,51,94.86,7.54,5.85,2.15,525.36
North,Intercity,Van,Clear,Low,12.2,50,91.88,3.9,3.04,0.78,200.25
East,Local,Van,Clear,Low,123.0,35,92.4,6.78,5.99,1.11,549.89
East,Local,Bike,Cloudy,High,112.7,42,106.25,9.28,5.78,4.08,509.47
West,Regional,Truck,Clear,High,172.9,40,96.0,11.95,7.44,4.97,726.82
North,Intercity,Van,Clear,High,192.8,42,99.91,12.36,8.02,3.96,795.61
North,Regional,Van,Clear,Medium,168.3,54,92.05,10.52,7.45,2.98,708.51
East,Regional,Truck,Clear,Low,88.8,40,92.1,6.89,5.09,1.68,397.86
South,Local,Truck,Clear,Medium,29.4,33,101.41,5.7,3.35,2.52,227.94
East,Regional,Bike,Clear,Medium,76.7,50,89.25,6.7,4.85,2.1,339.65
East,Intercity,Van,Cloudy,High,87.2,40,93.92,9.07,5.04,3.74,416.82
East,Local,Bike,Clear,Low,200.1,43,96.17,10.62,8.23,2.41,781.09
East,Regional,Truck,Clear,Medium,53.9,51,96.56,6.1,4.22,1.17,412.43
West,Intercity,Bike,Clear,Low,36.2,41,95.1,6.32,3.62,3.2,231.62
North,Regional,Van,Clear,Medium,65.8,40,97.98,5.53,4.44,0.91,292.4
West,Regional,Truck,Clear,Medium,55.6,50,99.46,7.71,4.26,3.47,324.52
West,Regional,Truck,Clear,Medium,34.0,50,99.67,5.65,3.65,1.89,272.94
West,Local,Van,Cloudy,Medium,81.0,52,91.07,6.76,4.99,2.18,459.49
East,Local,Truck,Clear,Medium,89.1,46,94.58,5.92,5.15,0.0,419.57
South,Intercity,Bike,Cloudy,Medium,32.7,53,101.97,5.9,3.65,2.25,175.41
North,Intercity,Truck,Rain,High,70.8,50,100.47,8.8,4.68,4.08,410.47
South,Intercity,Bike,Cloudy,High,53.5,49,89.14,7.26,4.19,2.91,248.97
West,Intercity,Van,Clear,High,23.8,39,97.76,6.35,3.26,3.69,180.91
West,Regional,Truck,Clear,High,90.8,56,86.11,9.41,5.3,3.8,441.83
South,Regional,Bike,Clear,Medium,95.9,42,96.23,7.5,5.31,2.46,436.65
South,Intercity,Bike,Clear,Medium,53.5,51,105.49,6.84,4.21,2.76,325.97
South,Regional,Truck,Rain,Medium,150.1,47,91.26,10.09,6.87,3.66,624.58
West,Regional,Truck,Clear,Low,86.0,44,91.83,6.48,5.05,1.2,417.66
West,Intercity,Van,Clear,High,55.1,48,99.82,8.86,4.22,4.38,310.56
North,Intercity,Van,Cloudy,Low,31.4,58,88.29,5.47,3.66,2.19,240.78
North,Local,Van,Cloudy,High,98.8,45,92.84,9.29,5.42,4.03,460.56
West,Local,Van,Clear,Medium,112.6,49,98.98,7.57,5.84,1.18,525.08
South,Local,Van,Clear,Medium,63.6,41,92.83,5.87,4.39,1.29,363.11
South,Regional,Bike,Clear,Medium,92.4,48,94.82,8.04,5.27,2.91,444.85
North,Local,Truck,Clear,High,192.8,38,99.72,12.26,7.98,4.57,809.35
West,Regional,Van,Clear,Medium,137.5,44,98.11,9.03,6.49,2.3,536.09
North,Regional,Van,Clear,Medium,19.1,52,97.33,4.85,3.25,0.58,191.47
North,Local,Van,Clear,Low,54.7,47,94.3,5.07,4.2,1.06,324.66
East,Regional,Truck,Clear,Medium,78.7,52,97.85,7.71,4.92,2.36,435.44
East,Local,Bike,Clear,Low,88.8,61,95.38,6.89,5.3,0.88,404.44
East,Local,Van,Clear,Medium,93.6,45,98.29,6.99,5.27,0.73,418.04
South,Intercity,Van,Clear,Medium,108.7,37,93.52,8.97,5.61,3.64,465.21
West,Local,Van,Cloudy,Medium,80.3,41,95.09,7.76,4.86,2.95,410.18
West,Local,Bike,Cloudy,Low,85.9,46,91.05,6.43,5.07,1.29,442.35
West,Regional,Truck,Clear,Low,141.4,42,95.82,9.16,6.58,3.06,603.0
West,Regional,Truck,Clear,Medium,99.9,34,91.94,6.92,5.34,1.81,499.12
East,Local,Van,Clear,Low,41.0,48,90.43,2.94,3.83,0.0,265.4
South,Regional,Van,Cloudy,Low,90.4,39,97.29,7.32,5.12,1.71,420.92
South,Local,Truck,Cloudy,Low,78.9,41,97.06,6.34,4.82,1.51,394.74
East,Local,Truck,Clear,High,23.7,54,99.91,5.47,3.4,1.5,248.39
South,Regional,Bike,Rain,Medium,93.1,52,93.84,8.5,5.33,3.1,447.58
East,Regional,Van,Clear,Medium,44.5,42,98.04,5.77,3.87,1.82,349.37
West,Regional,Van,Clear,Low,142.5,34,98.75,9.28,6.53,2.97,571.67
East,Regional,Van,Cloudy,Medium,107.8,33,98.22,8.17,5.55,2.64,499.12
West,Intercity,Truck,Rain,High,39.6,39,91.87,7.7,3.7,4.22,246.22
West,Regional,Truck,Cloudy,Medium,139.0,40,96.75,10.28,6.49,4.03,577.54
North,Local,Truck,Cloudy,Low,174.4,38,97.82,9.55,7.46,2.84,728.47
East,Intercity,Van,Clear,Low,73.4,63,96.04,7.6,4.89,2.6,389.27
North,Local,Bike,Cloudy,Low,78.6,41,85.57,5.53,4.81,0.39,478.09
East,Regional,Truck,Clear,Medium,131.7,42,96.8,8.74,6.31,2.52,577.94
East,Local,Truck,Rain,High,167.4,40,107.06,11.53,7.29,3.97,672.11
North,Local,Bike,Clear,Low,28.1,40,94.2,3.81,3.39,0.94,213.93
North,Intercity,Truck,Cloudy,Low,42.6,48,92.36,6.77,3.87,2.79,209.22
East,Intercity,Truck,Clear,Low,66.5,39,97.87,6.7,4.45,2.05,354.96
South,Regional,Van,Cloudy,High,70.8,37,97.56,6.5,4.55,1.78,356.97
West,Local,Van,Clear,Low,129.6,53,101.96,7.56,6.36,1.45,600.57
North,Local,Van,Cloudy,High,167.9,34,89.71,10.95,7.24,3.66,717.78
West,Local,Bike,Clear,Medium,174.7,41,99.66,9.31,7.5,1.58,693.63
South,Local,Van,Clear,Medium,27.6,51,98.95,4.62,3.48,1.72,213.1
South,Regional,Truck,Clear,Low,51.7,46,95.29,6.53,4.11,2.12,285.2
South,Regional,Bike,Clear,Low,38.5,37,97.69,4.25,3.65,0.62,198.78
North,Regional,Van,Rain,Medium,59.3,40,101.15,6.19,4.26,2.16,330.67
South,Local,Van,Clear,High,51.5,34,100.36,6.01,3.98,1.46,243.66
North,Intercity,Van,Rain,Medium,107.6,41,90.28,9.19,5.62,3.73,468.8
South,Regional,Truck,Clear,Medium,114.9,32,100.1,7.77,5.74,1.66,485.61
West,Regional,Van,Clear,Low,85.3,44,95.68,6.61,5.03,1.87,430.23
West,Regional,Van,Cloudy,High,80.7,46,96.36,8.52,4.92,3.27,459.94
East,Local,Truck,Cloudy,High,68.2,41,96.37,7.37,4.52,3.09,319.62
West,Local,Van,Clear,Low,73.0,54,95.25,6.08,4.78,1.68,311.28
East,Local,Bike,Clear,High,191.7,39,101.96,12.04,7.96,4.38,765.56
